Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,MEX,Adjusted net national income (current US$),,,,,,,,,,,30734090676,34045906747,39173714376,48143418371,62222317606,75414440867,75639681868,68795892230,85716541929,1.10E+11,1.65E+11,2.14E+11,1.40E+11,1.12E+11,1.36E+11,1.48E+11,98180452690,1.08E+11,1.39E+11,1.74E+11,2.09E+11,2.59E+11,3.01E+11,4.23E+11,4.46E+11,2.87E+11,3.30E+11,4.12E+11,4.35E+11,4.98E+11,5.83E+11,6.28E+11,6.38E+11,5.90E+11,6.29E+11,6.90E+11,7.71E+11,8.34E+11,8.70E+11,7.07E+11,8.36E+11,9.11E+11,9.23E+11,9.76E+11,1.03E+12,9.26E+11,8.47E+11,9.05E+11,9.40E+11,,
Monaco,MCO,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,Adjusted net national income (current US$),,,,,,,,,,,34223037195,39545528436,48598838268,64816846760,75575011093,87257864587,96011318422,1.12E+11,1.36E+11,1.55E+11,1.67E+11,1.39E+11,1.34E+11,1.30E+11,1.22E+11,1.20E+11,1.69E+11,2.08E+11,2.21E+11,2.18E+11,2.63E+11,2.72E+11,3.00E+11,2.94E+11,3.20E+11,3.86E+11,3.86E+11,3.56E+11,3.70E+11,3.85E+11,3.59E+11,3.60E+11,3.93E+11,4.89E+11,5.52E+11,5.63E+11,6.19E+11,7.09E+11,7.63E+11,7.05E+11,6.98E+11,7.56E+11,7.01E+11,7.29E+11,7.31E+11,6.35E+11,6.40E+11,7.01E+11,7.70E+11,,
New Zealand,NZL,Adjusted net national income (current US$),,,,,,,,,,,5620345806,6933099176,8356401230,11196342452,11997632400,10577718390,11051810169,12391016498,14851538948,16706216185,18875964404,19869226326,19522461008,19544733323,17104912179,19196850851,24252638201,32185644916,36693989690,35538664772,36547017791,33047164519,32257809803,36212413480,43312020188,50497354899,54493411960,52294373347,45220619434,46626643867,41482471111,43041613939,53599596646,71756505945,83474987825,90917338353,87545697340,1.07E+11,1.02E+11,96402230289,1.16E+11,1.35E+11,1.42E+11,1.55E+11,1.63E+11,1.45E+11,1.54E+11,1.65E+11,1.65E+11,,
Nigeria,NGA,Adjusted net national income (current US$),,,,,,,,,,,11213901834,7909014089,10463131007,12736330364,17662658872,21750108333,28536438468,27993022401,29501667190,30083470664,44786032223,1.45E+11,1.29E+11,86953589604,63628168083,62306592055,47220738285,43272402643,43134627440,33234232860,39987566099,39077885550,36591716259,18697258590,25039533262,33749341971,38871698094,42793689007,44953073069,49734220869,49400724232,58681401536,77744989775,82741766983,1.04E+11,1.31E+11,1.93E+11,2.21E+11,2.66E+11,2.39E+11,2.87E+11,3.09E+11,3.55E+11,4.07E+11,4.67E+11,4.15E+11,3.37E+11,3.02E+11,3.11E+11,,
Norway,NOR,Adjusted net national income (current US$),,,,,,,,,,,10691600154,12273376991,14581822276,19001765293,22630733389,27269332860,29324202886,33294533348,36541183392,40613248328,49200128543,49501503316,49280116425,47434423973,47622643628,50786948491,62191247009,73401037311,77998871446,76148597527,87681469230,92152993585,99723633494,91171735524,97365165777,1.18E+11,1.25E+11,1.26E+11,1.24E+11,1.27E+11,1.27E+11,1.35E+11,1.52E+11,1.79E+11,2.06E+11,2.43E+11,2.68E+11,3.12E+11,3.50E+11,2.99E+11,3.35E+11,3.83E+11,3.95E+11,4.12E+11,4.01E+11,3.18E+11,3.08E+11,3.27E+11,3.51E+11,,
Poland,POL,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37328216754,50136404077,58590222949,67579863513,87964311445,1.19E+11,1.35E+11,1.35E+11,1.48E+11,1.45E+11,1.47E+11,1.62E+11,1.69E+11,1.83E+11,2.11E+11,2.58E+11,2.89E+11,3.59E+11,4.56E+11,3.75E+11,4.08E+11,4.51E+11,4.27E+11,4.47E+11,4.63E+11,4.05E+11,3.95E+11,4.42E+11,4.92E+11,,
Qatar,QAT,Adjusted net national income (current US$),,,,,,,,,,,153320560.4,147386414.8,156218496.5,186124788,589723400.1,938885910.4,1138034915,1379223931,1648237745,,3641273662,5412864025,5575852151,4728966953,4102516118,4559639056,4332552696,4301098272,4559722149,4241886841,4590126869,5024906992,5401311248,5090058961,5386436013,5794480828,5824368408,7579417809,6322424728,7431852225,8872640504,12264845502,14291113477,17780166274,21428076856,26276994823,39041703561,51962727433,72882673974,61457751876,77968202154,1.04E+11,1.21E+11,1.34E+11,1.44E+11,1.23E+11,1.19E+11,1.30E+11,1.43E+11,,
Russian Federation,RUS,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54E+11,2.31E+11,2.01E+11,1.93E+11,2.34E+11,2.56E+11,1.74E+11,1.41E+11,1.87E+11,2.29E+11,2.59E+11,3.20E+11,4.52E+11,5.83E+11,7.61E+11,1.03E+12,1.30E+12,9.54E+11,1.20E+12,1.61E+12,1.73E+12,1.80E+12,1.62E+12,1.09E+12,1.02E+12,1.25E+12,1.27E+12,,
San Marino,SMR,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
